condition,condition_key,trial,file,window_index,start_seconds,midpoint_seconds,video_repeat,eeg_exponent,eeg_r2,eeg_flag,model_flag,accepted_without_eog_screen,duration_seconds,blink_candidates,blink_rate_per_min,horizontal_saccades,horizontal_saccades_per_min,vertical_saccades,vertical_saccades_per_min,horizontal_direction_balance,vertical_direction_balance,horizontal_rms_uv,vertical_rms_uv,horizontal_drift_rms_uv,vertical_drift_rms_uv,horizontal_total_variation_uv_per_min,vertical_total_variation_uv_per_min
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,128,642.0,652.0,2.0,1.2273713944041027,0.9026575555277008,True,False,False,20.0,13,39.0,13,39.0,6,18.0,0.07692307692307687,0.0,280.74849456432236,187.4992357220886,169.5444081337959,127.54160699963474,66188.32840668836,58590.76235920897
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,132,662.0,672.0,2.0,0.7838684013534901,0.8246484525138935,False,False,True,20.0,8,24.0,6,18.0,6,18.0,0.0,0.6666666666666667,252.9460484717636,107.72715289094286,190.35378054271808,48.55122237399432,44369.55007329871,45339.52567668141
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,136,682.0,692.0,2.0,1.1453266284027426,0.8418152442614756,False,False,True,20.0,12,36.0,10,30.0,4,12.0,0.0,0.0,325.8420588737369,142.9064663515113,256.69805937812487,91.26733047657348,50534.63955700699,49724.28101332207
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,140,702.0,712.0,2.0,0.7348884406058935,0.7873217357338844,False,True,False,20.0,15,45.0,10,30.0,4,12.0,0.0,1.0,174.44926545613862,143.74279708824122,109.63546774867427,68.94294172697306,35558.70988108041,75249.55070997067
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,144,722.0,732.0,2.0,1.13496674719849,0.862031385081382,False,False,True,20.0,15,45.0,3,9.0,2,6.0,-0.3333333333333333,-1.0,81.2444544954376,122.0130347531052,38.2846488495413,45.283815757433324,18237.73260174469,58881.92813258591
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,148,742.0,752.0,2.0,1.2796852166633603,0.895295132414949,False,False,True,20.0,12,36.0,13,39.0,6,18.0,-0.23076923076923078,-1.0,131.98856235132885,132.86122326100045,80.0477408258092,65.6141592243897,32636.411826153402,53333.907001160245
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,152,762.0,772.0,2.0,1.4597495129251468,0.9213762765501582,True,False,False,20.0,10,30.0,11,33.0,5,15.0,-0.09090909090909088,-0.19999999999999996,220.69979705084793,108.57750727194706,175.53700468714823,37.00154674759218,39120.140078616365,49694.94267188191
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,156,782.0,792.0,2.0,0.7461499797538951,0.8065987797240664,False,False,True,20.0,9,27.0,12,36.0,5,15.0,0.3333333333333333,-1.0,187.94407664692508,140.52634668761115,102.32157790715682,78.05234876333232,50620.610595426384,64585.12563623944
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,160,802.0,812.0,2.0,2.0878194808456296,0.8738601218206639,True,False,False,20.0,8,24.0,3,9.0,2,6.0,-0.3333333333333333,-1.0,136.8385068210415,126.5109985269328,75.9243485618639,74.69826354045226,33128.318837375395,50156.84015434358
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,164,822.0,832.0,2.0,1.2035934079714807,0.8772818257219097,True,False,False,20.0,14,42.0,7,21.0,3,9.0,-0.14285714285714285,-1.0,185.16571712161942,354.6507926370101,77.31674244721741,278.20818212307665,42882.27231556355,66707.9636816395
